CHEMBL1200950|CLIDINIUM BROMIDE
CHEMBL2107885|RETEPLASE
CHEMBL744|RILUZOLE
CHEMBL129|ZIDOVUDINE
CHEMBL480|LANSOPRAZOLE
CHEMBL1428|NIMODIPINE
CHEMBL343448|ROMIDEPSIN
CHEMBL3989556|REMOXIPRIDE HYDROCHLORIDE
CHEMBL2103738|LITHIUM CITRATE
CHEMBL1201038|ACRISORCIN
CHEMBL1650|CORTISONE ACETATE
CHEMBL2360079|ACETOPHENAZINE MALEATE
CHEMBL719|MUPIROCIN
CHEMBL484785|CRISABOROLE
CHEMBL1200497|CYCLIZINE LACTATE
CHEMBL1237022|TOCILIZUMAB
CHEMBL1200494|GUANFACINE HYDROCHLORIDE
CHEMBL43064|CINNARIZINE
CHEMBL3707377|SEGESTERONE ACETATE
CHEMBL691|ETHINYL ESTRADIOL
CHEMBL1563|DAUNORUBICIN HYDROCHLORIDE
CHEMBL1761|PROCYCLIDINE HYDROCHLORIDE
CHEMBL1234|DEFEROXAMINE MESYLATE
CHEMBL983|SUCCINYLCHOLINE CHLORIDE
CHEMBL1201146|NORETHINDRONE ACETATE
CHEMBL333826|DEQUALINIUM
CHEMBL1714|KETAMINE HYDROCHLORIDE
CHEMBL1201697|LH (MENOTROPINS)
CHEMBL408|TROGLITAZONE
CHEMBL3039520|LASMIDITAN
CHEMBL94394|BUFEXAMAC
CHEMBL128|SUMATRIPTAN
CHEMBL1200464|PROPARACAINE HYDROCHLORIDE
CHEMBL1096146|PONESIMOD
CHEMBL898|DIFLUNISAL
CHEMBL1357648|AMODIAQUINE HYDROCHLORIDE
CHEMBL783|NATEGLINIDE
CHEMBL584|NELFINAVIR
CHEMBL1200774|FLUPREDNISOLONE
CHEMBL45029|MEPHOBARBITAL
CHEMBL1090|VIDARABINE
CHEMBL1200328|DULOXETINE HYDROCHLORIDE
CHEMBL1474889|CLOBUTINOL
CHEMBL3301587|DURVALUMAB
CHEMBL1201835|USTEKINUMAB
CHEMBL488|AMINOGLUTETHIMIDE
CHEMBL799|CILOSTAZOL
CHEMBL94|PHYSOSTIGMINE
CHEMBL1201570|ANAKINRA
CHEMBL3989676|OXYPHENBUTAZONE
CHEMBL75435|DEXKETOPROFEN
CHEMBL17|DICHLORPHENAMIDE
CHEMBL2107857|METRELEPTIN
CHEMBL2105233|PROXIBARBAL
CHEMBL2105618|ALLYLESTRENOL
CHEMBL3301581|ABALOPARATIDE
CHEMBL1079|TIZANIDINE
CHEMBL1692|IMIPRAMINE HYDROCHLORIDE
CHEMBL17860|LOFEXIDINE
CHEMBL1201605|DACLIZUMAB
CHEMBL282575|ESTRADIOL BENZOATE
CHEMBL3187246|METHAPYRILENE FUMARATE
CHEMBL459265|HEXAMETHYL PARAROSANILINE
CHEMBL251940|PERICIAZINE
CHEMBL297302|BENPERIDOL
CHEMBL832|SULFINPYRAZONE
CHEMBL35|FUROSEMIDE
CHEMBL83|TAMOXIFEN
CHEMBL3989798|FORMOTEROL FUMARATE
CHEMBL1200951|FLUPHENAZINE ENANTHATE
CHEMBL3989693|LEVALBUTEROL TARTRATE
CHEMBL406|INDAPAMIDE
CHEMBL177|AMIKACIN
CHEMBL76|CHLOROQUINE
CHEMBL2108041|OCRELIZUMAB
CHEMBL3833320|EPTINEZUMAB
CHEMBL1185|ZOLMITRIPTAN
CHEMBL46469|ANTHRALIN
CHEMBL1423|PIMOZIDE
CHEMBL306823|SODIUM DICHLOROACETATE
CHEMBL53292|ISOXICAM
CHEMBL1200616|CHLOROTHIAZIDE SODIUM
CHEMBL3989559|PANTOPRAZOLE SODIUM
CHEMBL1201735|BUPROPION HYDROBROMIDE
CHEMBL1763|HYDROFLUMETHIAZIDE
CHEMBL1755|CONIVAPTAN
CHEMBL206253|NETUPITANT
CHEMBL995|LOSARTAN POTASSIUM
CHEMBL445|NORTRIPTYLINE
CHEMBL1201043|CEPHAPIRIN SODIUM
CHEMBL3351077|CEFSULODIN
CHEMBL1201541|INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF
CHEMBL290106|BITHIONOL
CHEMBL1497|BETAMETHASONE VALERATE
CHEMBL3813873|PEXIDARTINIB
CHEMBL1729|CISAPRIDE
CHEMBL1201490|SERMORELIN ACETATE
CHEMBL1120|BISMUTH SUBSALICYLATE
CHEMBL1743047|NECITUMUMAB
CHEMBL2096642|INAMRINONE LACTATE
CHEMBL3301624|SETMELANOTIDE
CHEMBL4297558|INOTUZUMAB
CHEMBL1201733|PAZOPANIB HYDROCHLORIDE
CHEMBL1200342|PARAMETHASONE ACETATE
CHEMBL1200483|PHENMETRAZINE HYDROCHLORIDE
CHEMBL4298211|PEGCETACOPLAN
CHEMBL1323699|PADIMATE O
CHEMBL474579|CEFOTETAN
CHEMBL3545058|DEXTROTHYROXINE SODIUM
CHEMBL1200600|FLUOROMETHOLONE
CHEMBL1321|PROCARBAZINE
CHEMBL2104793|PYROVALERONE HYDROCHLORIDE
CHEMBL612|DEXTROAMPHETAMINE
CHEMBL1493|FLAVOXATE
CHEMBL573|NIACIN
CHEMBL1146|CEFAMANDOLE
CHEMBL1200348|SULCONAZOLE NITRATE
CHEMBL849|TRICLOSAN
CHEMBL6466|COUMARIN
CHEMBL559|DEXTROTHYROXINE
CHEMBL3989868|TUCATINIB
CHEMBL790|CHLORHEXIDINE
CHEMBL1200601|NARATRIPTAN HYDROCHLORIDE
CHEMBL264374|BEZAFIBRATE
CHEMBL1200933|HEXAFLUORENIUM BROMIDE
CHEMBL1200964|AMITRIPTYLINE HYDROCHLORIDE
CHEMBL1200949|BETAZOLE HYDROCHLORIDE
CHEMBL1301|HYDROXYSTILBAMIDINE
CHEMBL531|PERGOLIDE
CHEMBL1200908|HALOBETASOL PROPIONATE
CHEMBL1200425|PARGYLINE HYDROCHLORIDE
CHEMBL1200485|SORAFENIB TOSYLATE
CHEMBL314854|FINGOLIMOD
CHEMBL1463345|CANRENONE
CHEMBL1489|AZACITIDINE
CHEMBL2105756|TIVOZANIB HYDROCHLORIDE
CHEMBL468|THALIDOMIDE
CHEMBL1534525|MIBEFRADIL DIHYDROCHLORIDE
CHEMBL94454|MIZOLASTINE
CHEMBL750|ZONISAMIDE
CHEMBL991|STAVUDINE
CHEMBL1200391|TROMETHAMINE
CHEMBL1484|NICARDIPINE
CHEMBL1485|ARGININE
CHEMBL112|ACETAMINOPHEN
CHEMBL1200405|BITOLTEROL MESYLATE
CHEMBL1201634|INSULIN ZINC SUSP PURIFIED BEEF
CHEMBL1101|BIPERIDEN
CHEMBL962|EPOPROSTENOL SODIUM
CHEMBL1200527|ATRACURIUM BESYLATE
CHEMBL1873475|IBRUTINIB
CHEMBL1201013|OLSALAZINE SODIUM
CHEMBL661|ALPRAZOLAM
CHEMBL1200975|CLOCORTOLONE PIVALATE
CHEMBL4298128|ELEXACAFTOR
CHEMBL1201571|ALEFACEPT
CHEMBL1200661|UNOPROSTONE ISOPROPYL
CHEMBL1200561|DOXAZOSIN MESYLATE
CHEMBL4164059|PITOLISANT HYDROCHLORIDE
CHEMBL502|DONEPEZIL
CHEMBL2109093|EPOETIN DELTA
CHEMBL2028663|DABRAFENIB
CHEMBL1590946|CEFSULODIN SODIUM
CHEMBL1200805|DILTIAZEM MALATE
CHEMBL1466|DICUMAROL
CHEMBL159|VINBLASTINE
CHEMBL2110368|BETHANIDINE SULFATE
CHEMBL1766|DESOXIMETASONE
CHEMBL1200707|BENZQUINAMIDE HYDROCHLORIDE
CHEMBL1040|CALCIFEDIOL
CHEMBL751|BROMFENAC SODIUM
CHEMBL1055|CHLORTHALIDONE
CHEMBL493982|VORAPAXAR
CHEMBL1200478|DYCLONINE HYDROCHLORIDE
CHEMBL2218919|VOCLOSPORIN
CHEMBL2360628|ACRIFLAVINE
CHEMBL21731|MAPROTILINE
CHEMBL3989555|MECLIZINE HYDROCHLORIDE
CHEMBL1128|EDROPHONIUM CHLORIDE
CHEMBL447629|MITOBRONITOL
CHEMBL1201543|INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN
CHEMBL692|GLYCERIN
CHEMBL345524|ANTRAFENINE
CHEMBL1201630|INSULIN PURIFIED PORK
CHEMBL117287|PRUCALOPRIDE
CHEMBL1834657|INFIGRATINIB PHOSPHATE
CHEMBL1200854|FLUPHENAZINE DECANOATE
CHEMBL1200947|METIPRANOLOL HYDROCHLORIDE
CHEMBL2336071|SIPONIMOD
CHEMBL19224|PAPAVERINE
CHEMBL24778|SILODOSIN
CHEMBL416146|ETORICOXIB
CHEMBL1625|OXYBENZONE
CHEMBL267345|AMPHOTERICIN B
CHEMBL1200909|PREDNISOLONE TEBUTATE
CHEMBL1200976|IDARUBICIN HYDROCHLORIDE
CHEMBL4594301|REMIMAZOLAM BESYLATE
CHEMBL1201585|TRASTUZUMAB
CHEMBL945|AMILORIDE
CHEMBL1983268|ENTRECTINIB
CHEMBL2105708|PONATINIB HYDROCHLORIDE
CHEMBL1201184|LANREOTIDE ACETATE
CHEMBL1680|OCTREOTIDE
CHEMBL1200531|ALFENTANIL HYDROCHLORIDE
CHEMBL548|DINOPROSTONE
CHEMBL338802|SULFAGUANIDINE
CHEMBL182|GANCICLOVIR
CHEMBL1370561|AMINOPHYLLINE
CHEMBL4298185|LONAPEGSOMATROPIN
CHEMBL2103855|TELOTRISTAT
CHEMBL1201236|CARBIDOPA
CHEMBL1201081|METHYLPREDNISOLONE SODIUM SUCCINATE
CHEMBL602|CYSTEAMINE
CHEMBL3707266|RIBOCICLIB SUCCINATE
CHEMBL1261|CITRIC ACID
CHEMBL59|DOPAMINE
CHEMBL972|SELEGILINE
CHEMBL1201740|NILOTINIB HYDROCHLORIDE MONOHYDRATE
CHEMBL1059|PREGABALIN
CHEMBL2106195|DEXMEDETOMIDINE HYDROCHLORIDE
CHEMBL2146123|METHACYCLINE HYDROCHLORIDE
CHEMBL4585668|BELZUTIFAN
CHEMBL1607273|CETIRIZINE HYDROCHLORIDE
CHEMBL22242|REMOXIPRIDE
CHEMBL3545432|IXAZOMIB CITRATE
CHEMBL1705|CLONIDINE HYDROCHLORIDE
CHEMBL2107333|DIMETHYL FUMARATE
CHEMBL1201775|SAPROPTERIN DIHYDROCHLORIDE
CHEMBL1201171|PRAMOXINE HYDROCHLORIDE
CHEMBL2364648|GUSELKUMAB
CHEMBL1722|METHYLPHENIDATE HYDROCHLORIDE
CHEMBL1200724|PSEUDOEPHEDRINE HYDROCHLORIDE
CHEMBL1677|TACRINE HYDROCHLORIDE
CHEMBL1200618|FEXOFENADINE HYDROCHLORIDE
CHEMBL2108184|CROFELEMER
CHEMBL1532|QUINETHAZONE
CHEMBL1530428|DEXAMETHASONE ACETATE
CHEMBL1289|HALOPROGIN
CHEMBL1770|LEVAMISOLE HYDROCHLORIDE
CHEMBL3707328|GALCANEZUMAB
CHEMBL1626|CLEMASTINE
CHEMBL1161|MOMETASONE FUROATE
CHEMBL1200848|HYDROXYPROGESTERONE CAPROATE
CHEMBL561|LOMEFLOXACIN
CHEMBL106|FLUCONAZOLE
CHEMBL1200586|PRILOCAINE HYDROCHLORIDE
CHEMBL1200750|PROMETHAZINE HYDROCHLORIDE
CHEMBL1589|ACETOHEXAMIDE
CHEMBL19|METHAZOLAMIDE
CHEMBL1624|LEVOTHYROXINE
CHEMBL1519|TRANDOLAPRIL
CHEMBL1201754|RUFINAMIDE
CHEMBL243712|AMISULPRIDE
CHEMBL1200817|LEVOMETHADYL ACETATE HYDROCHLORIDE
CHEMBL1072|BUMETANIDE
CHEMBL553|ERLOTINIB
CHEMBL2108570|ABOBOTULINUMTOXINA
CHEMBL1201082|FLUOXETINE HYDROCHLORIDE
CHEMBL1257015|PICOTAMIDE
CHEMBL1200604|TROPICAMIDE
CHEMBL1201891|DEFLAZACORT
CHEMBL1743082|TRASTUZUMAB EMTANSINE
CHEMBL397420|ACENOCOUMAROL
CHEMBL3989937|CAPMATINIB HYDROCHLORIDE
CHEMBL3707290|SOMAPACITAN
CHEMBL2108730|SARILUMAB
CHEMBL2108147|STREPTOKINASE
CHEMBL1257040|TRIFLUOPERAZINE HYDROCHLORIDE
CHEMBL33|LEVOFLOXACIN
CHEMBL2364655|EVOLOCUMAB
CHEMBL3545367|LEMBOREXANT
CHEMBL1951071|ARFORMOTEROL TARTRATE
CHEMBL4297533|BREMELANOTIDE ACETATE
CHEMBL1201467|SYNTHETIC CONJUGATED ESTROGENS, B
CHEMBL105|MITOMYCIN
CHEMBL288441|BOSUTINIB
CHEMBL222863|OUABAIN
CHEMBL1201461|DEXTROMETHORPHAN POLISTIREX
CHEMBL1201606|IBRITUMOMAB TIUXETAN
CHEMBL3833368|RUCAPARIB CAMSYLATE
CHEMBL20|ACETAZOLAMIDE
CHEMBL14376|ILOPERIDONE
CHEMBL1097279|CANGRELOR TETRASODIUM
CHEMBL3833307|SATRALIZUMAB
CHEMBL1200430|ESTRADIOL ACETATE
CHEMBL1200895|PHENELZINE SULFATE
CHEMBL453|SULFISOXAZOLE
CHEMBL1200517|DIHYDROERGOTAMINE MESYLATE
CHEMBL1200955|MYCOPHENOLATE MOFETIL HYDROCHLORIDE
CHEMBL968|FLURAZEPAM
CHEMBL3559672|RAUWOLFIA SERPENTINA
CHEMBL590|MENADIONE
CHEMBL1201611|INSULIN LISPRO PROTAMINE RECOMBINANT
CHEMBL1479848|ACETOMENAPHTHONE
CHEMBL2355333|ZIMELDINE HYDROCHLORIDE
CHEMBL2105662|LOMITAPIDE MESYLATE
CHEMBL589586|MONOMETHYL FUMARATE
CHEMBL814|FLUVOXAMINE
CHEMBL3544971|DEXTROAMPHETAMINE SULFATE
CHEMBL1085|ACETOPHENAZINE
CHEMBL1200434|OXTRIPHYLLINE
CHEMBL1200791|OXYMETAZOLINE HYDROCHLORIDE
CHEMBL1201613|INSULIN GLULISINE
CHEMBL2103830|FOSTAMATINIB
CHEMBL1557|DOPAMINE HYDROCHLORIDE
CHEMBL4297147|HALOPERIDOL LACTATE
CHEMBL2062262|METARAMINOL BITARTRATE
CHEMBL157101|KETOCONAZOLE
CHEMBL1201067|BIPERIDEN LACTATE
CHEMBL1451|TRIAMCINOLONE
CHEMBL1025|ISOFLUROPHATE
CHEMBL2138684|FROVATRIPTAN SUCCINATE
CHEMBL1200402|AMLODIPINE BESYLATE
CHEMBL1201664|INSULIN ASPART PROTAMINE RECOMBINANT
CHEMBL1431|METFORMIN
CHEMBL2103802|DAPAGLIFLOZIN PROPYLENE GLYCOL
CHEMBL1200635|HYDROCORTAMATE HYDROCHLORIDE
CHEMBL1564|DIPHENYLPYRALINE HYDROCHLORIDE
CHEMBL1200804|DICLOFENAC POTASSIUM
CHEMBL3989885|TRIMEPRAZINE TARTRATE
CHEMBL1201118|CEFMETAZOLE SODIUM
CHEMBL3137310|BENZHYDROCODONE HYDROCHLORIDE
CHEMBL1201568|PEGFILGRASTIM
CHEMBL1455|ALTRETAMINE
CHEMBL3137320|TALAZOPARIB
CHEMBL1518|PROPYLTHIOURACIL
CHEMBL1795072|ZICONOTIDE ACETATE
CHEMBL1544|LIOTHYRONINE
CHEMBL1201002|CARTEOLOL HYDROCHLORIDE
CHEMBL3989519|DOXAPRAM HYDROCHLORIDE
CHEMBL787|MONTELUKAST
CHEMBL1200940|METOCLOPRAMIDE HYDROCHLORIDE
CHEMBL121663|DEQUALINIUM CHLORIDE
CHEMBL513|CARMUSTINE
CHEMBL1201139|MEGESTROL ACETATE
CHEMBL567|PERPHENAZINE
CHEMBL677|LEVONORDEFRIN
CHEMBL802|MINOXIDIL
CHEMBL1387|NORETHYNODREL
CHEMBL770|TOLAZOLINE
CHEMBL3545185|SELINEXOR
CHEMBL914|FEXOFENADINE
CHEMBL1447815|INDIUM CHLORIDE
CHEMBL86|METOCLOPRAMIDE
CHEMBL782|TOLBUTAMIDE
CHEMBL862|GUANFACINE
CHEMBL3989694|OLANZAPINE PAMOATE
CHEMBL1706|NAPHAZOLINE HYDROCHLORIDE
CHEMBL1237023|DENOSUMAB
CHEMBL1678|DONEPEZIL HYDROCHLORIDE
CHEMBL3137317|SONIDEGIB PHOSPHATE
CHEMBL4066936|VERICIGUAT
CHEMBL1201607|NATALIZUMAB
CHEMBL1200981|EPIRUBICIN HYDROCHLORIDE
CHEMBL3989803|DIPYRONE
CHEMBL3137301|SACUBITRIL
CHEMBL669|CYCLOBENZAPRINE
CHEMBL535|SUNITINIB
CHEMBL54126|NEOSTIGMINE BROMIDE
CHEMBL806|FLUTAMIDE
CHEMBL1201728|DESVENLAFAXINE SUCCINATE
CHEMBL4594214|ZICONOTIDE
CHEMBL3989516|FOSTAMATINIB DISODIUM
CHEMBL1503|OMEPRAZOLE
CHEMBL1256400|XYLOMETAZOLINE HYDROCHLORIDE
CHEMBL376897|METHSCOPOLAMINE
CHEMBL1076347|TRICLOCARBAN
CHEMBL1201020|DISOPYRAMIDE PHOSPHATE
CHEMBL3237547|CEDAZURIDINE
CHEMBL1088|MESORIDAZINE
CHEMBL2107386|VORAPAXAR SULFATE
CHEMBL1434513|NOREPINEPHRINE BITARTRATE
CHEMBL44657|ETOPOSIDE
CHEMBL1200396|BUPIVACAINE HYDROCHLORIDE
CHEMBL3039588|PASIREOTIDE DIASPARTATE
CHEMBL80|NALOXONE
CHEMBL621|TRAZODONE
CHEMBL13209|NITRAZEPAM
CHEMBL1789844|IPILIMUMAB
CHEMBL1715|PIOGLITAZONE HYDROCHLORIDE
CHEMBL1200772|WARFARIN POTASSIUM
CHEMBL1287853|FEDRATINIB
CHEMBL189171|ACEMETACIN
CHEMBL278819|MINAPRINE
CHEMBL1200644|FONDAPARINUX SODIUM
CHEMBL1229846|PHENOXYETHANOL
CHEMBL49080|CLENBUTEROL
CHEMBL1201328|CARPHENAZINE
CHEMBL1201509|GONADOTROPIN, CHORIONIC
CHEMBL622|ETODOLAC
CHEMBL3545057|ACETYLDIGITOXIN
CHEMBL1382627|SULFADIAZINE, SILVER
CHEMBL1201174|SITAGLIPTIN PHOSPHATE
CHEMBL1204165|DILEVALOL HYDROCHLORIDE
CHEMBL628|PENTOXIFYLLINE
CHEMBL1201006|PYRILAMINE MALEATE
CHEMBL3989922|NIRAPARIB TOSYLATE
CHEMBL493|BROMOCRIPTINE
CHEMBL13828|OXATOMIDE
CHEMBL1224|ACRIVASTINE
CHEMBL836|TAMSULOSIN
CHEMBL254219|DIGITOXIN
CHEMBL3188993|QUETIAPINE FUMARATE
CHEMBL1184|ACETYLCHOLINE CHLORIDE
CHEMBL2107874|ROMOSOZUMAB
CHEMBL54|HALOPERIDOL
CHEMBL1200686|PIMECROLIMUS
CHEMBL2358147|CARPHENAZINE MALEATE
CHEMBL1200409|LIDOCAINE HYDROCHLORIDE
CHEMBL19215|METERGOLINE
CHEMBL908|CHLORPROTHIXENE
CHEMBL1292|CLOFAZIMINE
CHEMBL2103784|COSYNTROPIN
CHEMBL378544|VINBLASTINE SULFATE
CHEMBL1131|ACITRETIN
CHEMBL98|VORINOSTAT
CHEMBL2364629|RIMEGEPANT SULFATE
CHEMBL4297841|TISOTUMAB VEDOTIN
CHEMBL1230314|ESTETROL
CHEMBL1282|IMIQUIMOD
CHEMBL26|SULPIRIDE
CHEMBL998|LORATADINE
CHEMBL1237082|MECAMYLAMINE HYDROCHLORIDE
CHEMBL1742423|BILASTINE
CHEMBL315985|ESLICARBAZEPINE
CHEMBL1200769|TRIPELENNAMINE CITRATE
CHEMBL413|SIROLIMUS
CHEMBL1200335|TESTOSTERONE ENANTHATE
CHEMBL1200515|DESERPIDINE
CHEMBL1324|TOLCAPONE
CHEMBL1201825|RANIBIZUMAB
CHEMBL2062257|BRIMONIDINE TARTRATE
CHEMBL2103795|AZILSARTAN KAMEDOXOMIL
CHEMBL3545068|COPANLISIB HYDROCHLORIDE
CHEMBL253371|ALVERINE
CHEMBL1200703|CHLORDIAZEPOXIDE HYDROCHLORIDE
CHEMBL3545110|RIBOCICLIB
CHEMBL1401|NITAZOXANIDE
CHEMBL87493|FENFLURAMINE
CHEMBL1237102|LEVOCABASTINE HYDROCHLORIDE
CHEMBL4650319|MOBOCERTINIB
CHEMBL514446|DEHYDROCHOLIC ACID
CHEMBL316561|PROGLUMIDE
CHEMBL566315|OBETICHOLIC ACID
CHEMBL1200948|TRIMIPRAMINE MALEATE
CHEMBL112570|CHOLESTEROL
CHEMBL117785|TETRABENAZINE
CHEMBL1200370|BENZOYL PEROXIDE
CHEMBL1695|TIAGABINE HYDROCHLORIDE
CHEMBL1200595|CHLORPHENTERMINE HYDROCHLORIDE
CHEMBL855|TRIPROLIDINE
CHEMBL1341|METHOXYFLURANE
CHEMBL970|HALAZEPAM
CHEMBL49|BUSPIRONE
CHEMBL1201670|SARGRAMOSTIM
CHEMBL1200983|GALLIUM NITRATE
CHEMBL2108709|COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
CHEMBL1502|PANTOPRAZOLE
CHEMBL452231|TENIPOSIDE
CHEMBL1201234|MEPHENTERMINE
CHEMBL2356097|METOPROLOL SUCCINATE
CHEMBL635|PREDNISONE
CHEMBL2219425|ARIPIPRAZOLE LAUROXIL
CHEMBL701|BACLOFEN
CHEMBL19019|NALTREXONE
CHEMBL1201782|FOSAPREPITANT DIMEGLUMINE
CHEMBL589|ROPINIROLE
CHEMBL1354|SODIUM ACETATE
CHEMBL1200629|VECURONIUM BROMIDE
CHEMBL225072|PEMETREXED
CHEMBL53463|DOXORUBICIN
CHEMBL809|SERTRALINE
CHEMBL1364144|METHYLPREDNISOLONE ACETATE
CHEMBL1148|TORSEMIDE
CHEMBL1373254|CYCLOPENTHIAZIDE
CHEMBL1705709|SODIUM FEREDETATE
CHEMBL1073|GLIPIZIDE
CHEMBL58|MITOXANTRONE
CHEMBL2159122|ELUXADOLINE
CHEMBL534|KETOTIFEN
CHEMBL568|OXAZEPAM
CHEMBL1201549|TERIPARATIDE ACETATE
CHEMBL1201460|DALTEPARIN SODIUM
CHEMBL459|METHYLDOPA
CHEMBL1017|TELMISARTAN
CHEMBL2005186|BELUMOSUDIL
CHEMBL1200764|METHACHOLINE CHLORIDE
CHEMBL1173055|RUCAPARIB
CHEMBL571|KETOPROFEN
CHEMBL550|PILOCARPINE
CHEMBL29411|THYMOL
CHEMBL411|DIETHYLSTILBESTROL
CHEMBL1201322|THONZONIUM
CHEMBL1201604|TOSITUMOMAB
CHEMBL1707|LOPERAMIDE HYDROCHLORIDE
CHEMBL90|HISTAMINE
CHEMBL3188034|TRIPROLIDINE HYDROCHLORIDE
CHEMBL1408594|ALVERINE CITRATE
CHEMBL1200779|TROVAFLOXACIN MESYLATE
CHEMBL16476|PRONETALOL
CHEMBL1632|CEPHALOTHIN SODIUM
CHEMBL65794|CEFPIROME
CHEMBL1201635|INSULIN SUSP ISOPHANE BEEF
CHEMBL516476|METHYLATROPINE NITRATE
CHEMBL65375|TIPIRACIL HYDROCHLORIDE
CHEMBL671|THIOTEPA
CHEMBL1200666|CALCIPOTRIENE
CHEMBL1346|DARIFENACIN
CHEMBL1200578|THEOPHYLLINE SODIUM GLYCINATE
CHEMBL1200332|PROTRIPTYLINE HYDROCHLORIDE
CHEMBL1699|MEMANTINE HYDROCHLORIDE
CHEMBL1319362|HOMATROPINE HYDROBROMIDE
CHEMBL1200585|OXYMETHOLONE
CHEMBL1200789|TRICLOFOS SODIUM
CHEMBL118|CELECOXIB
CHEMBL3989521|ISOPROTERENOL SULFATE
CHEMBL282724|SITAXENTAN
CHEMBL1909324|PINAVERIUM
CHEMBL1200722|PIPECURONIUM BROMIDE
CHEMBL279816|TRICHLOROETHYLENE
CHEMBL3707247|OZANIMOD
CHEMBL1540|PENCICLOVIR
CHEMBL13376|CLOMETACIN
CHEMBL508102|CARBIMAZOLE
CHEMBL982|NALMEFENE
CHEMBL1437|NOREPINEPHRINE
CHEMBL3183409|APALUTAMIDE
CHEMBL1200760|BALSALAZIDE DISODIUM
CHEMBL778|DEXMEDETOMIDINE
CHEMBL927|CEFDINIR
CHEMBL1200323|LABETALOL HYDROCHLORIDE
CHEMBL1372950|NICERGOLINE
CHEMBL2146124|CEFUROXIME SODIUM
CHEMBL1200659|ENALAPRIL MALEATE
CHEMBL2368925|DOLASETRON
CHEMBL3182733|PRAMIPEXOLE DIHYDROCHLORIDE
CHEMBL4101807|VOXELOTOR
CHEMBL1201477|POLYESTRADIOL PHOSPHATE
CHEMBL1712842|MEPAZINE ACETATE
CHEMBL1201773|PRASUGREL HYDROCHLORIDE
CHEMBL101|PHENYLBUTAZONE
CHEMBL1200799|TRAVOPROST
CHEMBL1200521|ALMOTRIPTAN MALATE
CHEMBL76370|TEGASEROD
CHEMBL1395|METHYLTESTOSTERONE
CHEMBL1201168|ISOCARBOXAZID
CHEMBL448|PENTOBARBITAL
CHEMBL1562610|MECLOFENAMATE SODIUM
CHEMBL700|SULFAPYRIDINE
CHEMBL1743029|IBALIZUMAB
CHEMBL1200712|EVANS BLUE
CHEMBL231779|APIXABAN
